ts_code,ln_cap,beta,momentum_20d,volatility_60d,turnover_20d,pe_ttm,pb,roe,debt_ratio,eps_growth
000151.SZ,12.914107386612873,1.9513515101008516,0.0499092558983666,0.0266810730304136,2.5812,10.0444,4.6368,0.0,0.0,0.0
000153.SZ,12.538294121886087,1.101584635309543,-0.0740740740740741,0.0217571132642557,1.2723,28.3339,1.2775,0.0,0.0,0.0
000155.SZ,14.786297705808323,1.2505714266546175,-0.1573364761343546,0.0393946323556985,2.5939,49.5818,2.4571,0.0,0.0,0.0
000156.SZ,14.106550653266002,1.669281805518264,-0.0462351387054161,0.0216330492653736,0.7712,29.8296,0.8813,0.0,0.0,0.0
000157.SZ,15.658189941246285,1.4651454884485482,-0.1064871481028151,0.02492571186108,0.9344,14.5724,1.0825,0.0,0.0,0.0
000158.SZ,14.719673579108848,1.6923109540725074,-0.1196581196581197,0.0248814401494781,1.5399,780.9634,4.6583,0.0,0.0,0.0
000159.SZ,12.739072696356114,0.8991418824880913,0.1362179487179486,0.0288471862788731,11.5216,92.868,1.6533,0.0,0.0,0.0
000166.SZ,16.219537583583335,0.8486224927237631,-0.0595744680851064,0.0118530921612656,0.4332,11.1953,0.9655,0.0,0.0,0.0
000301.SZ,15.918585111507076,0.8010484544317572,-0.0220994475138121,0.0286394404630118,0.3941,66.8674,2.3582,0.0,0.0,0.0
000333.SZ,17.927964983335013,0.239784372745573,0.0098113207547169,0.0127566477796274,0.4517,13.8234,2.625,0.0,0.0,0.0
000338.SZ,17.204327062678914,1.885117636897794,0.2629038247307834,0.0362975143737688,2.0068,26.2095,3.1071,0.0,0.0,0.0
000400.SZ,14.786391693155634,1.4988921068677044,-0.0091743119266054,0.0260554032852803,1.5887,24.6598,2.1513,0.0,0.0,0.0
000401.SZ,13.871863915138604,0.6767332743034211,-0.1495726495726495,0.017360354403737,0.3948,108.6545,0.4031,0.0,0.0,0.0
000402.SZ,13.682844462633472,1.7638951506573664,0.0732600732600733,0.035963510251346,1.9732,0.0,0.4411,0.0,0.0,0.0
000403.SZ,13.905267521072153,0.6208918532804489,-0.1056721056721056,0.0203974434024015,2.8173,30.9761,1.3487,0.0,0.0,0.0
000404.SZ,13.425729441912248,1.1315467455517771,0.2238993710691824,0.0301635883297617,8.3519,13.2842,1.5334,0.0,0.0,0.0
000407.SZ,12.941227821593088,0.5448758053660095,0.0063694267515924,0.0264705557872971,3.598,25.3867,1.3487,0.0,0.0,0.0
000408.SZ,16.357264890092413,1.6951074922222025,-0.0636132315521628,0.0266713153918701,0.792,27.1476,8.3051,0.0,0.0,0.0
000409.SZ,13.380492119003096,1.4720149953961168,-0.1099720410065237,0.0213889674119498,0.8836,91.5528,3.9425,0.0,0.0,0.0
000410.SZ,14.24499380423167,1.507200057090923,-0.1317365269461077,0.0227326759014845,1.0844,0.0,3.6785,0.0,0.0,0.0
000411.SZ,13.436587324677316,1.0820370504648746,0.105839416058394,0.0195834808981051,3.4699,14.2449,1.2667,0.0,0.0,0.0
